valor,tempo_lista_ns,tempo_dict_ns
1990121,100,900
432150,200,1500
5367303,100,1000
2576270,100,1100
4620928,200,900
4203765,100,600
1233401,100,1100
4111495,200,1000
189129,100,1200
4040970,100,1100
4665279,100,800
4007312,100,900
1365835,100,900
3363564,100,900
5173196,200,800
6219739,100,1100
656214,200,1700
6533180,200,700
6573965,100,900
4521581,100,1100
3305271,100,500
6315423,100,800
3379226,100,900
2185238,200,900
2267299,100,900
1011350,200,900
1085482,100,1100
3505397,100,500
1685315,100,900
3242233,200,900
800259,100,1600
4087743,100,900
39095,100,1000
870311,100,1200
5610486,100,700
1033150,100,900
2152389,100,1200
5245419,100,1100
5058232,100,800
3737756,100,1000
6835766,100,900
5236082,100,900
4473374,100,900
6534593,100,600
6941308,100,700
3516505,200,700
5176453,100,1000
5767960,100,1000
61034,100,1200
2435481,100,1100
285567,100,1200
6087381,100,600
5149804,100,900
538468,100,1000
4017466,100,700
1580555,100,1000
1587950,200,700
5384905,100,800
766132,200,1100
589256,200,1200
3872499,200,1000
189131,200,100
5673011,200,800
4541159,100,800
4225367,100,500
3759642,200,600
1503717,100,1000
5990139,200,900
4141690,100,900
911339,100,1000
1575162,200,900
2860203,100,900
1669651,100,1100
1621172,100,900
6101118,100,700
2772245,100,1000
3519545,100,500
305117,100,1300
6502562,100,600
6064899,100,600
1185432,200,900
6785264,100,600
5944575,200,900
6872495,100,1100
3837024,100,900
6176042,100,800
2643178,100,1000
5287920,100,1000
1666759,200,1000
6892399,100,1100
298682,100,1000
4601002,100,900
6446064,100,800
6376186,100,900
6840341,100,800
6997800,200,1100
3981740,100,800
1747034,100,900
6371213,100,900
873755,100,1000
1501717,200,900
4851357,100,600
2405915,100,1100
5751616,100,800
273725,100,1000
1724957,100,1100
6431709,100,1000
1389642,100,1700
4766334,100,800
2390509,100,900
3579050,100,1200
3678142,100,1100
4489109,200,900
5511211,200,800
5860295,100,900
706710,200,900
365266,100,1300
3018858,100,900
938292,200,1100
1468946,100,1000
2757007,100,1100
1384727,100,1000
2528755,100,1100
3784587,100,1000
2740795,100,800
1711755,100,1000
1299862,100,1200
1977836,100,1000
2808314,200,800
1202989,100,1000
2951974,200,1000
441055,100,1000
4508812,100,1200
6754018,100,1000
6598413,200,900
3915379,200,700
1059954,100,1000
6678007,100,700
1733384,200,800
1778191,100,900
4702507,100,800
5264448,100,800
6920255,100,600
5155095,100,800
2692152,100,1300
3978258,100,700
6803452,100,600
6032187,100,700
2974007,100,1000
2709861,100,900
2000223,200,1000
2668520,100,800
6536454,100,500
6336634,100,700
381917,200,1100
3407916,100,900
4975436,100,1200
1467285,100,1000
3391176,100,800
1352088,100,1300
4130545,200,700
3217958,100,600
6457275,200,500
6604457,100,700
1946250,100,1000
3043346,100,1100
5979308,100,700
3223139,100,500
740188,200,1100
1065994,100,800
6747843,200,900
4544573,100,600
3220596,100,600
6215777,100,900
3199397,100,700
3625795,100,1100
1046544,200,1100
6118523,100,700
4882015,100,800
90454,100,800
3854215,100,700
6928907,100,600
625343,100,1000
116454,200,1200
6738795,100,800
2731128,100,900
4407386,100,1000
555964,100,1100
4391955,100,1100
6655072,200,800
6278201,100,1100
2864357,200,1000
1930103,100,1100
5432562,200,600
6943588,100,700
4870909,100,800
2377458,100,1000
2526805,100,1100
1174893,100,1000
3515555,100,900
471442,100,1100
4439268,100,800
4516833,100,900
678929,100,1000
6131207,100,1000
6735837,200,700
6561906,200,700
3496793,100,900
2600810,100,1000
5751879,100,300
1599411,100,800
2610338,100,1000
4642338,100,800
5706257,100,800
6301682,100,800
2182428,100,1300
5088737,100,1000
1807810,100,1100
4385291,100,800
339872,100,900
6205053,100,800
6877725,100,900
118618,100,700
4100779,100,700
1816384,100,800
5020070,100,1000
1481991,100,1200
2807250,100,900
685637,200,800
4181219,200,800
768073,100,800
2109374,100,900
6762513,100,700
6337778,200,500
3900567,100,600
1553049,100,700
3451149,100,900
3765896,200,1000
2337250,100,1200
3678163,100,200
1242103,100,1400
1558609,100,900
6157226,100,900
3472580,100,800
6984402,100,600
356254,100,1000
6787425,100,600
5767507,100,600
6678640,200,400
964625,100,1100
648774,100,1000
953374,100,900
3609493,100,1000
1146583,100,1100
4577132,100,1100
511286,100,1200
6344346,100,800
4605122,100,800
2895016,100,900
573273,100,900
3033420,100,1200
1297584,200,900
5363832,100,900
2717228,100,1100
4490292,100,700
508050,100,1000
3673320,100,700
6918985,100,600
5328502,100,800
5292454,200,700
2933844,200,900
4338667,100,900
6416320,100,600
2096352,100,1100
1982850,100,1000
2958348,100,1100
3532651,200,800
2318887,100,900
838015,100,1000
239445,100,1100
2761937,200,900
752067,200,1000
136279,100,1300
